MOULINS LE CARBONNEL	2006-02-07 00:00:00	1
SAINT JULIEN DE CONCELLES	2006-02-07 00:00:00	1
SAINT BERTHEVIN LA TANNIERE	2006-02-03 00:00:00	1
LE MANS	2006-02-03 00:00:00	1
SOULGE SUR OUETTE	2006-02-03 00:00:00	1
SOULGE SUR OUETTE	2006-02-03 00:00:00	1
MENIL HUBERT SUR ORNE	2006-02-03 00:00:00	1
MENIL HUBERT SUR ORNE	2006-02-03 00:00:00	1
MENIL HUBERT SUR ORNE	2006-02-03 00:00:00	1
MENIL HUBERT SUR ORNE	2006-02-03 00:00:00	1
MENIL HUBERT SUR ORNE	2006-02-03 00:00:00	1
SAINTE MARIE LAUMONT	2006-02-03 00:00:00	1
SAINTE MARIE LAUMONT	2006-02-03 00:00:00	1
SAINT AUBIN DE BONNEVAL	2006-02-03 00:00:00	1
SAINT AUBIN DE BONNEVAL	2006-02-03 00:00:00	1
LE MANS	2006-02-03 00:00:00	1
LE MANS	2006-02-03 00:00:00	1
SARGE LES LE MANS	2006-02-03 00:00:00	1
PARENNES	2006-02-03 00:00:00	5
LA BAROCHE SOUS LUCE	2006-02-03 00:00:00	5
LE LARDIN ST LAZARE	2006-02-06 00:00:00	1
LE LARDIN ST LAZARE	2006-02-06 00:00:00	1
MONTILLY  SUR NOIREAU	2006-02-06 00:00:00	1
CHAUVIGNE	2006-02-06 00:00:00	1
LUIGNY	2006-02-06 00:00:00	3
SOLESMES	2006-02-06 00:00:00	1
CIRAL	2006-02-06 00:00:00	5
CIRAL	2006-02-06 00:00:00	1
L'AIGLE	2006-02-06 00:00:00	5
LAVAL	2006-02-06 00:00:00	6
CRIQUETOT L'ESNEVAL	2006-02-06 00:00:00	1
OUISTREHAM	2006-02-06 00:00:00	1
OUISTREHAM	2006-02-06 00:00:00	1
LESBOIS	2006-02-06 00:00:00	1
SAINT GEORGES MONTCOCQ	2006-02-06 00:00:00	1
BRETTEVILLE L'ORGUEILLEUSE	2006-02-06 00:00:00	1
LAVAL	2006-02-06 00:00:00	1
MONDEVILLE	2006-02-06 00:00:00	1
VIBRAYE	2006-02-06 00:00:00	1
LA FLECHE	2006-02-06 00:00:00	1
FAMILLY	2006-02-06 00:00:00	1
GARENNES SUR EURE	2006-02-06 00:00:00	1
GARENNES SUR EURE	2006-02-06 00:00:00	1
NEUILLE PONT PIERRE	2006-02-06 00:00:00	1
COURBEVEILLE	2006-02-06 00:00:00	1
CEAUCE	2006-02-06 00:00:00	3
CHEMAZE	2006-02-06 00:00:00	1
BOSC RENOULT EN OUCHE	2006-02-06 00:00:00	1
ROUEN	2006-02-06 00:00:00	2
DOMPIERRE	2006-02-06 00:00:00	1
DOMPIERRE	2006-02-06 00:00:00	1
LE MANS	2006-02-06 00:00:00	1
HOTTOT LES BAGUES	2006-02-06 00:00:00	1
BAIS	2006-02-06 00:00:00	1
LE FAVRIL	2006-02-06 00:00:00	1
ISIGNY LE BUAT	2006-02-06 00:00:00	1
AUBIGNE RACAN	2006-02-06 00:00:00	1
NEUILLY LE VENDIN	2006-02-06 00:00:00	1
AUVERS LE HAMON	2006-02-06 00:00:00	1
AUVERS LE HAMON	2006-02-06 00:00:00	2
AUVERS LE HAMON	2006-02-06 00:00:00	1
AUVERS LE HAMON	2006-02-06 00:00:00	1
FLERS	2006-02-06 00:00:00	1
LE CROISIC	2006-02-06 00:00:00	1
BIEVILLE BEUVILLE	2006-02-06 00:00:00	1
ST VIGOR LE GRAND	2006-02-06 00:00:00	1
ST VIGOR LE GRAND	2006-02-06 00:00:00	1
ST VIGOR LE GRAND	2006-02-06 00:00:00	1
ERNEE	2006-02-06 00:00:00	1
LA CARNEILLE	2006-02-06 00:00:00	1
BAZOCHES LES GALLERANDES	2006-02-06 00:00:00	1
ST GERMAIN DU CORBEIS	2006-02-06 00:00:00	1
ST GERMAIN DU CORBEIS	2006-02-06 00:00:00	1
SILLE LE GUILLAUME	2006-02-06 00:00:00	1
LES MOUTIERS EN CINGLAIS	2006-02-06 00:00:00	1
CAEN	2006-02-10 00:00:00	1
MONTSECRET	2006-02-10 00:00:00	2
ST BRICE	2006-02-10 00:00:00	4
